normalized_title	original_title	identifier	path
ectc 2026 spotlights advanced packaging	ECTC 2026 spotlights advanced packaging	https://advancedpackaging.news/article/124287/ECTC_2026_spotlights_advanced_packaging	raw/_to_delete/2026-09-15_advpkgnews_ectc2026-hybrid-bonding-plp-cpo-highlights.md
the future of packaging gets blurry fanouts abf organic interposers embedded bridges	The Future Of Packaging Gets Blurry - Fanouts, ABF, Organic Interposers, Embedded Bridges	https://semianalysis.com/2022/11/01/the-future-of-packaging-gets-blurry/	raw/articles/2022-11-01_semianalysis_packaging-gets-blurry.md
ai capacity constraints cowos and hbm supply chain	AI Capacity Constraints - CoWoS and HBM Supply Chain	https://semianalysis.com/p/ai-capacity-constraints-cowos-and	raw/articles/2023-07-05_semianalysis_ai-capacity-cowos-hbm.md
ai expansion supply chain analysis for cowos and hbm	AI Expansion - Supply Chain Analysis For CoWoS And HBM	https://semianalysis.com/2023/07/26/ai-expansion-supply-chain-analysis/	raw/articles/2023-07-26_semianalysis_cowos-hbm-supply-chain.md
a review on cmp challenges in hybrid wafer bonding and wafer level packaging	A Review on CMP Challenges in Hybrid Wafer Bonding and Wafer Level Packaging	https://nccavs-usergroups.avs.org/wp-content/uploads/2023/09/JointUG923-5-BasimGB.pdf	raw/articles/2023-09-13_nccavs_intel-cmp-challenges-hybrid-wafer-bonding.md
hybrid bonding process flow advanced packaging part 5	Hybrid Bonding Process Flow - Advanced Packaging Part 5	https://newsletter.semianalysis.com/p/hybrid-bonding-process-flow-advanced	raw/articles/2024-02-09_semianalysis_hybrid-bonding-process-flow.md
iftle 608 is chip packaging the new front on the us china chip wars	IFTLE 608: Is Chip Packaging the New Front on the US-China CHIP WARS?	https://www.3dincites.com/2024/10/iftle-608-is-chip-packaging-the-new-front-on-the-us-china-chip-wars/	raw/articles/2024-10-01_3dincites_us-china-chip-packaging-geopolitics.md
making hybrid bonding better	Making Hybrid Bonding Better	https://semiengineering.com/making-hybrid-bonding-better/	raw/articles/2025-01-01_semieng_making-hybrid-bonding-better.md
ucie for 1 6t interconnects in next gen i o chiplets for ai data centers	UCIe For 1.6T Interconnects In Next-Gen I/O Chiplets For AI Data Centers	https://semiengineering.com/ucie-for-1-6t-interconnects-in-next-gen-i-o-chiplets-for-ai-data-centers/	raw/articles/2025-01-01_semieng_ucie-1-6t-io-chiplets-ai-datacenter.md
iftle 618 ucie standard vs ucie advanced vs ucie 3	IFTLE 618: UCIe Standard vs. UCIe Advanced vs. UCIe 3	https://www.3dincites.com/2025/01/iftle-618-ucie-standard-vs-ucie-advanced-vs-ucie-3/	raw/articles/2025-01-28_3dincites_iftle-618-ucie-standard-vs-ucie3.md
top 10 osat companies of 2024 revealed china players see double digit growth reshaping the global market landscape	Top 10 OSAT Companies of 2024 Revealed—China Players See Double-Digit Growth, Reshaping the Global Market Landscape	https://www.trendforce.com/presscenter/news/20250513-12577.html	raw/articles/2025-05-13_trendforce_top10-osat-2024-china-players-growth.md
